year,Psammocora_contigua,Montipora_stilosa,Acropora_lokani,Acropora_bushyensis,Mycedium_steeni,Montipora_digitata,Platygyra_crosslandi,Acropora_abrotanoides,Physophyllia_ayleni,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand,event
0.0,7.738888888888888,8.494444444444445,7.542222222222223,7.551111111111111,7.521111111111112,12.727777777777776,7.858888888888889,7.774444444444445,10.24,0.0,0.0,0.0,7.685555555555555,7.613333333333333,7.252222222222223,0.0,0.0,0.0,0.0,initial_count
0.1,7.738888888888888,8.494444444444445,5.871111111111111,7.551111111111111,7.521111111111112,9.222222222222221,7.858888888888889,2.0011111111111113,10.24,0.0,0.0,0.0,1.3211111111111111,0.7533333333333334,6.361111111111111,0.0,0.0,0.0,0.0,cyclone
0.25,7.5777777777777775,8.55111111111111,7.316666666666667,8.665555555555555,7.62,9.542222222222223,7.967777777777778,2.4433333333333334,10.405555555555555,0.0,0.0,0.0,1.7055555555555557,1.228888888888889,5.378888888888889,0.0,0.0,0.0,0.0,end_season
0.35,7.5777777777777775,8.55111111111111,5.473333333333334,8.665555555555555,7.62,5.814444444444444,7.967777777777778,2.263333333333333,10.405555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
0.5,7.478888888888889,8.688888888888888,7.325555555555556,10.38,7.851111111111112,6.011111111111111,8.085555555555555,2.781111111111111,10.651111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,end_season
0.6,7.478888888888889,8.688888888888888,6.474444444444444,10.38,7.851111111111112,5.782222222222222,8.085555555555555,0.0,10.651111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
0.75,16.284444444444446,13.71,10.783333333333333,14.535555555555554,10.245555555555555,13.351111111111111,8.511111111111111,0.0,11.003333333333334,0.0,0.0,0.0,0.11222222222222221,0.11888888888888889,0.10444444444444444,0.0,0.0,0.0,0.0,end_season
0.85,16.284444444444446,13.71,8.712222222222223,14.535555555555554,10.245555555555555,7.82,8.511111111111111,0.0,11.003333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
1.0,11.018888888888888,9.952222222222222,21.983333333333334,15.158888888888889,9.912222222222223,5.038888888888889,8.645555555555555,0.0,11.205555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,end_season
1.1,11.018888888888888,9.952222222222222,16.995555555555555,15.158888888888889,9.912222222222223,5.038888888888889,8.645555555555555,0.0,11.205555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
1.25,7.111111111111111,8.084444444444443,30.240000000000002,11.893333333333334,7.895555555555555,2.9633333333333334,8.42,0.0,11.223333333333334,0.0,0.0,0.0,0.8766666666666667,0.8677777777777778,0.8166666666666665,0.0,0.0,0.0,0.0,end_season
1.35,7.111111111111111,8.084444444444443,19.11111111111111,11.893333333333334,7.895555555555555,2.9633333333333334,8.42,0.0,11.223333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
1.5,6.786666666666667,7.84,32.92,11.01,7.831111111111111,2.81,8.336666666666668,0.0,11.164444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,end_season
1.6,6.786666666666667,7.84,19.48,11.01,7.831111111111111,2.4144444444444444,8.336666666666668,0.0,11.164444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
1.75,10.345555555555555,9.717777777777778,33.64333333333333,12.056666666666667,8.168888888888889,3.457777777777778,8.435555555555556,0.0,11.227777777777778,0.0,0.0,0.0,0.1522222222222222,0.1388888888888889,0.1288888888888889,0.0,0.0,0.0,0.0,end_season
1.85,10.345555555555555,9.717777777777778,18.225555555555555,12.056666666666667,8.168888888888889,2.792222222222222,8.435555555555556,0.0,11.227777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
2.0,6.891111111111112,7.4688888888888885,37.32,11.397777777777778,7.458888888888889,3.033333333333333,8.438888888888888,0.0,11.405555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,end_season
2.1,6.891111111111112,7.4688888888888885,27.185555555555556,11.397777777777778,7.458888888888889,2.408888888888889,8.438888888888888,0.0,11.405555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
2.25,6.0311111111111115,6.824444444444444,38.81444444444445,11.013333333333334,7.112222222222223,2.095555555555556,8.467777777777778,0.0,11.571111111111112,0.0,0.0,0.0,0.41888888888888887,0.32666666666666666,0.3433333333333333,0.0,0.0,0.0,0.0,end_season
2.35,6.0311111111111115,6.824444444444444,27.405555555555555,11.013333333333334,7.112222222222223,1.8422222222222222,8.467777777777778,0.0,11.571111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
2.5,5.863333333333333,6.585555555555556,40.766666666666666,10.714444444444444,7.087777777777777,2.033333333333333,8.468888888888888,0.0,11.75888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,end_season
2.6,5.863333333333333,6.585555555555556,27.324444444444445,10.714444444444444,7.087777777777777,1.7766666666666666,8.468888888888888,0.0,11.75888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyclone
